parameter_subsection,parameter,simulator_field,implementing_class_or_function,current_value,current_semantics,units,timestep_frequency,representation,scope,mechanics_or_experiment,current_tests,empirical_candidate,candidate_source,uncertainty,candidate_units,candidate_frequency,latest_candidate_status,regime,collateral,primary_adoption_class,semantic_compatibility,interface_compatibility,unit_compatibility,frequency_compatibility,proposed_treatment,required_code_change,required_test,adoption_priority,adopted,notes
4.1.1,`n_steps`,n_steps,"SimulationConfig, CollateralPortfolioConfig or run_simulation",200,Implemented runtime or experimental control for n_steps.,simulation steps,initialisation or run-level,scalar/control,global,experimental configuration,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.1.2,`n_vaults`,n_vaults,"SimulationConfig, CollateralPortfolioConfig or run_simulation",100,Implemented runtime or experimental control for n_vaults.,synthetic vaults,initialisation or run-level,scalar/control,global,model mechanics,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,"[{""candidate_key"": ""phase2b:000"", ""collateral"": ""six target ilks mapped to ETH and BTC"", ""distribution"": ""{\""observed_active_range\"": [3258, 3381], \""quiet_opening_scaling_factor\"": 6.592, \""simulation_sizes\"": [100, 250, 500, 1000]}"", ""parameter"": ""n_vaults"", ""regime"": ""cross-regime scaling choice"", ""status"": ""provisional_scaling_choice"", ""value"": ""500""}]",2B,"{""lower"": 100, ""type"": ""sensitivity_range"", ""upper"": 1000}",synthetic vaults,four validated boundaries,provisional_scaling_choice,cross-regime scaling choice,six target ilks mapped to ETH and BTC,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.1.3,`random_seed`,random_seed,"SimulationConfig, CollateralPortfolioConfig or run_simulation",42,Implemented runtime or experimental control for random_seed.,integer seed,initialisation or run-level,scalar/control,global,experimental configuration,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.1.4,`execute_liquidations`,execute_liquidations,"SimulationConfig, CollateralPortfolioConfig or run_simulation",true,Implemented runtime or experimental control for execute_liquidations.,boolean,initialisation or run-level,scalar/control,global,experimental configuration,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.1.5,"`collateral_portfolio`, `collaterals` and portfolio `name`","collateral_portfolio, collaterals and portfolio name","SimulationConfig, CollateralPortfolioConfig or run_simulation",None; implicit ETH-only portfolio,"Implemented runtime or experimental control for collateral_portfolio, collaterals and portfolio name.",portfolio object,initialisation or run-level,scalar/control,global,experimental configuration,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,,Experimental design,,,,scenario_only,not regime-specific,global,scenario_only,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,"Retain as a labelled experimental control, outside empirical adoption.",none,scenario schema and established-experiment regression tests,low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.1.6,collateral `name` and vault `collateral_type`,collateral name and vault collateral_type,"SimulationConfig, CollateralPortfolioConfig or run_simulation",ETH in legacy default; ETH/BTC/STABLE supported,Implemented runtime or experimental control for collateral name and vault collateral_type.,categorical identifier,initialisation or run-level,scalar/control,global with collateral-specific support,model mechanics,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,,Phase 1D protocol parameter panel,,,,protocol_constant,not regime-specific,global with collateral-specific support,protocol_constant_ready,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Historical replay uses effective-dated exact-ilk values; generic experiments use one declared baseline timestamp and explicit overrides.,configuration mapping only for represented fields,"exact-ilk mapping, baseline timestamp and override tests",high,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.1.7,`price_col` and `oracle_col`,price_col and oracle_col,"SimulationConfig, CollateralPortfolioConfig or run_simulation",eth_price / oracle_eth_price legacy defaults,Implemented runtime or experimental control for price_col and oracle_col.,column identifier,initialisation or run-level,scalar/control,global,model mechanics,module smoke checks in simulation.py/collateral.py; multi-collateral experiment diagnostics; no dedicated pytest for every field,,Experimental design,,,,scenario_only,not regime-specific,global,superseded_or_unused,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Resolve according to primary class superseded_or_unused.,interface-specific review,"unit, semantic and backward-compatibility tests",low,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.1,`initial_eth_price` and collateral `initial_price`,initial_eth_price and collateral initial_price,"SimulationConfig, CollateralConfig and vault generators",2000 USD for ETH; portfolio-specific otherwise,Implemented runtime or experimental control for initial_eth_price and collateral initial_price.,USD per collateral unit,initialisation or run-level,scalar/control,global with collateral-specific support,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,,Phase 1A market panel,,,,phase2a_estimable,not regime-specific,global with collateral-specific support,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.2,`initial_dai_price`,initial_dai_price,"SimulationConfig, CollateralConfig and vault generators",1.0 USD,Implemented runtime or experimental control for initial_dai_price.,USD per DAI,initialisation or run-level,scalar/control,global,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,,Phase 1A market panel,,,,phase2a_estimable,not regime-specific,global,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
4.2.3,`target_debt_share`,target_debt_share,"SimulationConfig, CollateralConfig and vault generators",1.0 ETH in default portfolio,Implemented runtime or experimental control for target_debt_share.,share of system debt,initialisation or run-level,scalar/control,global with collateral-specific support,model mechanics,vault.py/simulation.py smoke checks; tests/test_phase2b_vault_estimation.py,"[{""candidate_key"": ""phase2b:001"", ""collateral"": ""ETH and BTC families; exact ilks retained"", ""distribution"": ""Quiet closing and USDC/SVB opening/closing shares; exact-ilk shares in target_debt_share_estimates.csv"", ""parameter"": ""target_debt_share"", ""regime"": ""quiet_mature"", ""status"": ""ready_for_review"", ""value"": ""{\""BTC\"": 0.1516058873203592, \""ETH\"": 0.8483941126796408}""}]",2B,"{""BTC"": [0.08485334085946024, 0.2451900989821847], ""ETH"": [0.7324089774246498, 0.9119418233850346]}",share of six-ilk active DAI debt,opening boundary,ready_for_review,quiet_mature,ETH and BTC families; exact ilks retained,configuration_ready_with_sensitivity,compatible subject to stated units and scope,no mechanics change,compatible,compatible or not applicable,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,configuration only,"schema, units, sensitivity and baseline regression tests",medium,False,One row represents one authoritative subsection; grouped subsections retain all named implementation fields.
