claim_order,claim_identifier,claim_text,supporting_source_ids,limiting_source_ids,source_decision_labels,source_design_differences,evidence_direction,evidential_status,dissertation_safe_wording,prohibited_overstatement
1,C01,Collateral rebound needs unresolved positions.,unbounded_eth_recovery;constrained_eth_recovery,,no_clear_recovery_path_effect;H5a supported,Immediate versus capacity-constrained ETH execution.,conditional,conditionally supported,Collateral rebound can affect vault outcomes while unsafe positions remain unresolved.,Collateral recovery always rescues vaults.
2,C02,Immediate liquidation removes the rescue channel.,unbounded_eth_recovery,constrained_eth_recovery,no_clear_recovery_path_effect,Unbounded full-close execution.,supports,supported,Immediate closure can leave no unresolved vault for later rebound to rescue.,Collateral recovery never matters.
3,C03,Bounded execution creates a rescue window.,constrained_eth_recovery,experiment_d,H5a supported,Controlled ETH versus final multi-collateral populations.,supports,supported,Capacity-constrained execution leaves positions that can recover before liquidation.,All capacity constraints create the same rescue window.
4,C04,Lower capacity enlarges the rescue window.,constrained_eth_recovery,experiment_d,H5c present,Capacity 14/26/45 in controlled ETH paths.,supports,conditionally supported,"Within constrained ETH recovery, lower capacity leaves more positions available for rebound.",Lower capacity is universally preferable.
5,C05,Higher capacity reduces backlog.,constrained_eth_recovery,experiment_d,higher_capacity_reduces_backlog,Controlled ETH and mixed multi-collateral evidence.,supports,conditionally supported,Higher registered capacity reduces backlog in the constrained ETH design.,Capacity 45 is empirically optimal.
6,C06,Collateral recovery improves solvency under constrained execution.,constrained_eth_recovery,,H5a supported,Persistent trough versus full-week rebound.,supports,supported,Full-week rebound avoids liquidation debt and rescues positions under constrained execution.,Recovery improves every system outcome.
7,C07,Stage 1 peg outcomes do not respond directly to collateral rebound.,stage1_dai_mechanism;constrained_eth_recovery,confidence_scenarios,H5b not supported,Stage 1 has no direct recovery-path term.,supports,supported,"Under Stage 1-only, registered recovery paths leave primary peg outcomes unchanged.",Collateral values can never affect the DAI peg.
8,C08,Persistent-confidence effects are scenario-dependent.,confidence_scenarios;unbounded_eth_recovery;constrained_eth_recovery,confidence_partial_identification,scenario effects;no admissible vector,Transparent active scenarios versus dormant Stage 1.,scenario_dependent,scenario-dependent,"Behavioural assumptions can alter recovery, but the direction depends on the registered scenario.",Persistent confidence is empirically calibrated.
9,C09,No confidence scenario is empirically preferred.,confidence_partial_identification;confidence_structural_factorial;confidence_scenarios,,zero admissible vectors;no selected cell;no scenario selected,Calibration closure and transparent registry.,not_identified,not identified,The evidence supports sensitivity analysis without ranking or selecting a scenario.,The central scenario is the empirical estimate.
10,C10,Backlog is a structural behavioural-recovery gate.,stage1_dai_mechanism;constrained_eth_recovery,,operational gate;H5c present,Registered scenario mechanism and constrained ETH execution.,supports_mechanism,supported,The implemented behavioural recovery mechanism requires unresolved stress to clear.,Backlog alone causes peg recovery.
11,C11,The gate's causal peg effect is not cleanly isolated.,constrained_eth_recovery;experiment_e,,H5b not supported;E3 peg_unchanged,Recovery and timing contrasts do not isolate the gate coefficient.,unresolved,not identified,"The gate is operational, but its independent causal effect on peg recovery remains unresolved.",Backlog is proven to cause DAI depegging.
12,C12,Solvency and peg recovery are distinct.,constrained_eth_recovery;experiment_a;experiment_b;experiment_c;experiment_e,experiment_d,registered peg-solvency relations,Different populations and treatment questions; decisions are not pooled.,supports,supported,Operational solvency changes repeatedly coexist with unchanged registered peg outcomes.,Better solvency automatically restores the peg.
13,C13,Bad-debt evidence is limited by close-factor-one accounting.,experiment_e;experiment_d,,bad-debt metrics degenerate,Full-close final experiments.,limits,conditionally supported,Degenerate bad-debt outcomes limit inference beyond the retained accounting boundary.,Zero bad debt proves insolvency risk is absent.
14,C14,H4 is conditional rather than universal.,unbounded_eth_recovery;constrained_eth_recovery;confidence_scenarios;experiment_a;experiment_b;experiment_c;experiment_d;experiment_e,confidence_partial_identification,registered synthesis,Mechanism triangulation across incompatible designs without statistical pooling.,conditional,conditionally supported,"Recovery depends on unresolved inventory, execution conditions and scenario-defined behaviour.",H4 is universally or fully supported.
