parameter_subsection,simulator_field,provenance_class,current_status,source_dataset,source_columns,estimator,output_artefact,blocking_dependency,notes
4.1.1 `n_steps`,n_steps,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.1.2 `n_vaults`,n_vaults,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.1.3 `random_seed`,random_seed,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.1.4 `execute_liquidations`,execute_liquidations,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
"4.1.5 `collateral_portfolio`, `collaterals` and portfolio `name`","collateral_portfolio, collaterals and portfolio name",experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.1.6 collateral `name` and vault `collateral_type`,collateral name and vault collateral_type,protocol_constant,protocol_constant,Phase 1D protocol parameter panel,timestamp_utc;ilk;parameter-specific effective value,Effective-dated direct protocol-state extraction,protocol/protocol_parameter_summary.csv,,Review is required before simulator adoption.
4.1.7 `price_col` and `oracle_col`,price_col and oracle_col,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.2.1 `initial_eth_price` and collateral `initial_price`,initial_eth_price and collateral initial_price,empirical_estimation,phase2a_estimable,Phase 1A market panel,timestamp_utc;eth_price_usd;wbtc_price_usd;usdc_price_usd,Exact replay-start observation,market/initial_prices.csv,,Review is required before simulator adoption.
4.2.2 `initial_dai_price`,initial_dai_price,empirical_estimation,phase2a_estimable,Phase 1A market panel,timestamp_utc;dai_price_usd,Exact replay-start observation,market/initial_prices.csv,,Review is required before simulator adoption.
4.2.3 `target_debt_share`,target_debt_share,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.2.4 `debt_mean`,debt_mean,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.2.5 `debt_std`,debt_std,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.2.6 `collateral_ratio_mean`,collateral_ratio_mean,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.2.7 `collateral_ratio_std`,collateral_ratio_std,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.2.8 `min_collateral_ratio_buffer`,min_collateral_ratio_buffer,empirical_pending,blocked_pending_phase1e_b,Planned Phase 1E-B representative vault panels,,,,Representative vault opening states and mutations,No numerical value is assigned while blocked or deferred.
4.3.1 `price_path`,price_path,empirical_estimation,phase2a_estimable,Phase 1A market panel,timestamp_utc;eth_log_return;wbtc_log_return;usdc_log_return,Aligned empirical moving blocks,market/return_block_index.csv,,Review is required before simulator adoption.
4.3.2 `mu`,mu,empirical_estimation,phase2a_estimable,Phase 1A market panel,eth_log_return;wbtc_log_return;usdc_log_return,Hourly sample mean with moving-block-bootstrap uncertainty,market/return_distribution.csv,,Review is required before simulator adoption.
4.3.3 `sigma`,sigma,empirical_estimation,phase2a_estimable,Phase 1A market panel,eth_log_return;wbtc_log_return;usdc_log_return,Hourly sample standard deviation by regime,market/return_distribution.csv,,Review is required before simulator adoption.
4.3.4 `dt`,dt,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.3.5 `floor_price`,floor_price,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.3.6 `shock_time`,shock_time,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
"4.3.7 `shock_size`, `shock_sizes`, `crypto_crash_size` and `stable_depeg_size`","shock_size, shock_sizes, crypto_crash_size and stable_depeg_size",empirical_estimation,phase2a_estimable,Phase 1A market panel,eth_log_return;wbtc_log_return;usdc_log_return,Empirical lower-tail quantiles,market/return_distribution.csv,,Review is required before simulator adoption.
4.3.8 `pre_shock_drift` and `post_shock_drift`,pre_shock_drift and post_shock_drift,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.3.9 `recovery_start`,recovery_start,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.3.10 `recovery_end`,recovery_end,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.3.11 `recovery_fraction`,recovery_fraction,experimental_scenario,scenario_only,Experimental design,,No empirical estimator,,,Review is required before simulator adoption.
4.3.12 `oracle_delay_steps` and `delay_steps`,oracle_delay_steps and delay_steps,literature,literature_required,Phase 1D mappings plus oracle documentation/literature,oracle_adapter,Literature/protocol-bounded scenario set,,Historical oracle update delay is not present in Phase 1D,No numerical value is assigned while blocked or deferred.
4.4.1 `liquidation_ratio`,liquidation_ratio,protocol_constant,protocol_constant,Phase 1D protocol parameter panel,timestamp_utc;ilk;parameter-specific effective value,Effective-dated direct protocol-state extraction,protocol/protocol_parameter_summary.csv,,Review is required before simulator adoption.
4.4.2 `liquidation_penalty`,liquidation_penalty,protocol_constant,protocol_constant,Phase 1D protocol parameter panel,timestamp_utc;ilk;parameter-specific effective value,Effective-dated direct protocol-state extraction,protocol/protocol_parameter_summary.csv,,Review is required before simulator adoption.
4.4.3 `gas_cost`,gas_cost,empirical_estimation,phase2a_estimable,Phase 1C actions and transactions; Phase 1A ETH price,record_type;tx_hash;gas_used;gas_price;block_time;eth_price_usd,Clean successful-Take top-level transaction distribution,liquidations/liquidation_transaction_gas.csv,,Review is required before simulator adoption.
4.4.4 `risk_cost_rate`,risk_cost_rate,model_calibration,requires_model_calibration,Phase 1A–1C target moments and later simulator outputs,,Deferred minimum-distance or SMM calibration,,Observable inputs must be fixed before simulator calibration,No numerical value is assigned while blocked or deferred.
