current_path,git_status,path_type,domain,current_role,proposed_path,proposed_role,action,merge_group,archive_status,reference_risk,migration_stage,validation_required,notes
.env.example,tracked_head,.env.example,repository,repository support,.env.example,durable repository file,retain,root durable,active,low,01_or_11_repository,link/path review,No movement in this design task.
.gitignore,tracked_head,.gitignore,repository,repository support,.gitignore,durable repository file,retain,root durable,active,low,01_or_11_repository,link/path review,No movement in this design task.
AGENTS.md,modified_tracked,AGENTS.md,documentation,documentation,AGENTS.md,durable repository file,retain,root durable,active,low,01_or_11_repository,link/path review,No movement in this design task.
PROJECT_STATUS.md,modified_tracked,PROJECT_STATUS.md,documentation,documentation,PROJECT_STATUS.md,durable repository file,retain,root durable,active,low,08_documentation,link/path review,No movement in this design task.
README.md,tracked_head,README.md,documentation,documentation,README.md,durable repository file,retain,root durable,active,low,01_or_11_repository,link/path review,No movement in this design task.
config/collateral_mapping.csv,tracked_head,config,protocol,configuration,config/protocol/collateral_types.csv,user-facing configuration,move_and_rename,protocol configuration,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical.yaml,tracked_head,config,repository,configuration,config/profiles/legacy.yaml,user-facing configuration,move_and_rename,legacy empirical-processing profile,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/data/liquidation_gas_pool.csv,tracked_head,config,gas,tracked runtime model input,data/liquidations/model_inputs/keeper_gas/pool.csv,runtime empirical input,move_and_rename,domain model input,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/data/liquidation_gas_pool_manifest.json,tracked_head,config,gas,tracked runtime model input,data/liquidations/model_inputs/keeper_gas/manifest.json,runtime empirical input,move_and_rename,domain model input,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/data/market_gas_hourly_pool.csv,tracked_head,config,market,tracked runtime model input,data/market/model_inputs/environment_blocks/pool.csv,runtime empirical input,move_and_rename,domain model input,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/data/market_gas_hourly_pool_manifest.json,tracked_head,config,market,tracked runtime model input,data/market/model_inputs/environment_blocks/manifest.json,runtime empirical input,move_and_rename,domain model input,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/data/vault_initialisation_pools.csv,tracked_head,config,vaults,tracked runtime model input,data/vaults/model_inputs/initialisation/pool.csv,runtime empirical input,move_and_rename,domain model input,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/data/vault_initialisation_pools_manifest.json,tracked_head,config,vaults,tracked runtime model input,data/vaults/model_inputs/initialisation/manifest.json,runtime empirical input,move_and_rename,domain model input,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/phase2_empirical_baseline.yaml,tracked_head,config,calibration,configuration,config/profiles/empirical.yaml,user-facing configuration,merge,empirical-profile,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/phase2_empirical_distributional.yaml,tracked_head,config,calibration,configuration,config/profiles/empirical.yaml,user-facing configuration,merge,empirical-profile,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/phase2_empirical_market_gas.yaml,tracked_head,config,market,configuration,config/profiles/empirical.yaml,user-facing configuration,merge,empirical-profile,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
config/empirical/sensitivity/phase2_empirical_high_sensitivity.yaml,tracked_head,config,calibration,configuration,config/sensitivities/vaults/population_1000.yaml,user-facing configuration,move_and_rename,domain sensitivity,active,high_runtime_path,04_configuration_inputs,YAML/JSON parse; profile equivalence; checksum resolution,No movement in this design task.
