parameter_subsection,parameter,simulator_field,current_value,proposed_value,candidate_source,uncertainty,units,primary_adoption_class,semantic_compatibility,unit_compatibility,frequency_compatibility,numerical_difference,expected_directional_effect,adoption_risk,required_test,baseline_or_empirical_config
4.1.2,`n_vaults`,n_vaults,100,500,2B,"{""lower"": 100, ""type"": ""sensitivity_range"", ""upper"": 1000}",synthetic vaults,configuration_ready_with_sensitivity,compatible subject to stated units and scope,compatible,compatible or not applicable,+400 vaults,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
4.2.3,`target_debt_share`,target_debt_share,1.0 ETH in default portfolio,"{""ETH"": 0.8483941126796408, ""BTC"": 0.1516058873203592}",2B,"{""BTC"": [0.08485334085946024, 0.2451900989821847], ""ETH"": [0.7324089774246498, 0.9119418233850346]}",share of system debt,configuration_ready_with_sensitivity,compatible subject to stated units and scope,compatible,compatible or not applicable,ETH -0.151606; BTC +0.151606 versus implicit ETH-only default,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
4.2.8,`min_collateral_ratio_buffer`,min_collateral_ratio_buffer,0.05 absolute ratio points,0.4927578319238673,2B; 2C,"Phase 2B urn-cluster interval; Terra tail shown separately; [0.422144732390789, 0.5318617044495484]",absolute ratio difference,configuration_ready_with_sensitivity,compatible subject to stated units and scope,compatible,compatible or not applicable,+0.4427578319238673,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
4.3.2,`mu`,mu,0.0 per GBM time unit,"{""ETH"": 2.0683874929400927e-05, ""WBTC"": 2.8097430039838248e-05, ""STABLE_proxy_USDC"": -9.961245747512497e-08}",2A,"{""lower"": -3.763833088654339e-06, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 4.513705105149652e-06}; {""lower"": -5.518905237844368e-05, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.00010995592088449305}; {""lower"": -7.002320764304304e-05, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.0001188027944447265}",log return per model time unit,configuration_ready_with_sensitivity,compatible subject to stated units and scope,requires explicit conversion from hourly empirical moments to the configured GBM dt convention,requires confirmation that one simulation step is one hour,not meaningful until hourly/GBM-time conversion is fixed,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
4.3.3,`sigma`,sigma,0.80 per square-root GBM time unit,"{""ETH"": 0.006082614959678903, ""WBTC"": 0.0047429127302706054, ""STABLE_proxy_USDC"": 0.0006672093036257861}",2A,"{""lower"": 0.00047162649675026365, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.0008699284360299629}; {""lower"": 0.004423154339260324, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.005086337618791436}; {""lower"": 0.005650130832775232, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.006618243181681036}",log return per square-root model time unit,configuration_ready_with_sensitivity,compatible subject to stated units and scope,requires explicit conversion from hourly empirical moments to the configured GBM dt convention,requires confirmation that one simulation step is one hour,not meaningful until hourly/GBM-time conversion is fixed,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
4.4.1,`liquidation_ratio`,liquidation_ratio,1.5 global; collateral override supported,exact-ilk value effective at a pre-registered baseline timestamp,2A,Deterministic on-chain setting; no sampling interval.,collateral-value/debt multiple,protocol_constant_ready,compatible subject to stated units and scope,compatible,compatible or not applicable,timestamp- and ilk-specific; no pooled numerical difference,Historical replay uses effective-dated exact-ilk values; generic experiments use one declared baseline timestamp and explicit overrides.,medium-to-high: sensitivity or effective-time choice required,"exact-ilk mapping, baseline timestamp and override tests",separate empirical configuration; current baseline retained
4.4.2,`liquidation_penalty`,liquidation_penalty,0.13 global; collateral override supported,exact-ilk value effective at a pre-registered baseline timestamp,2A,Deterministic on-chain setting; no sampling interval.,fraction of repaid debt,protocol_constant_ready,compatible subject to stated units and scope,compatible,compatible or not applicable,timestamp- and ilk-specific; no pooled numerical difference,Historical replay uses effective-dated exact-ilk values; generic experiments use one declared baseline timestamp and explicit overrides.,medium-to-high: sensitivity or effective-time choice required,"exact-ilk mapping, baseline timestamp and override tests",separate empirical configuration; current baseline retained
4.4.5,`max_close_factor`,max_close_factor,1.0 global; collateral override supported,1.0,2C,exact degenerate distribution; structural uncertainty is the protocol-transition versus simulator-stage mapping,fraction of one vault's debt,configuration_ready,compatible at protocol-close stage; auction execution remains distinct,compatible,compatible or not applicable,0.0 versus default; +0.5 versus common 0.5 experiment,Retain the field and review 1.0 in an empirical configuration; do not rename until a compatibility migration is separately approved.,medium: existing scenarios may use different deliberate values,"profit, partial/full liquidation and established-scenario regression tests",separate empirical configuration; current baseline retained
4.5.1,`normal_lower_price`,normal_lower_price,0.99 USD/DAI,0.9992875,2A,Nearby-threshold sensitivity required.,USD per DAI,configuration_ready_with_sensitivity,compatible subject to stated units and scope,compatible,compatible or not applicable,+0.0092875,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
4.5.2,`normal_upper_price`,normal_upper_price,1.01 USD/DAI,1.0030259166666666,2A,Nearby-threshold sensitivity required.,USD per DAI,configuration_ready_with_sensitivity,compatible subject to stated units and scope,compatible,compatible or not applicable,-0.0069740833333334,Review in a separate empirical configuration with the recorded uncertainty and current hand-set baseline retained.,medium-to-high: sensitivity or effective-time choice required,"schema, units, sensitivity and baseline regression tests",separate empirical configuration; current baseline retained
