referring_file,line_or_key,referenced_path,reference_type,proposed_replacement,migration_risk,automatic_or_manual_update,validation_method
.gitignore,2,.DS_Store,ignore_rule,.DS_Store,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,3,Icon?,ignore_rule,Icon?,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,4,Icon\r,ignore_rule,Icon\r,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,7,.idea/,ignore_rule,.idea/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,10,__pycache__/,ignore_rule,__pycache__/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,11,*.py[cod],ignore_rule,*.py[cod],high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,12,*$py.class,ignore_rule,*$py.class,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,15,.venv/,ignore_rule,.venv/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,16,venv/,ignore_rule,venv/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,17,env/,ignore_rule,env/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,18,dai-sim/,ignore_rule,dai-sim/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,21,.ipynb_checkpoints/,ignore_rule,.ipynb_checkpoints/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,24,.env,ignore_rule,.env,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,25,*.env,ignore_rule,*.env,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,28,outputs/,ignore_rule,outputs/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,29,results/,ignore_rule,results/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,30,figures/,ignore_rule,figures/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,31,logs/,ignore_rule,logs/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,35,data/raw/market/*,literal_path,data/market/raw/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,35,data/raw/market/*,ignore_rule,data/raw/market/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,36,data/raw/market/README.md,literal_path,data/market/raw/README.md,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,36,!data/raw/market/README.md,ignore_rule,!data/raw/market/README.md,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,37,data/raw/gas/*,literal_path,data/gas/raw/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,37,data/raw/gas/*,ignore_rule,data/raw/gas/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,38,data/raw/gas/README.md,literal_path,data/gas/raw/README.md,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,38,!data/raw/gas/README.md,ignore_rule,!data/raw/gas/README.md,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,39,data/raw/protocol/*,literal_path,data/protocol/raw/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,39,data/raw/protocol/*,ignore_rule,data/raw/protocol/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,40,data/raw/protocol/README.md,literal_path,data/protocol/raw/README.md,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,40,!data/raw/protocol/README.md,ignore_rule,!data/raw/protocol/README.md,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,41,data/raw/vaults/*,literal_path,data/vaults/raw/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,41,data/raw/vaults/*,ignore_rule,data/raw/vaults/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,42,data/raw/vaults/README.md,literal_path,data/vaults/raw/README.md,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,42,!data/raw/vaults/README.md,ignore_rule,!data/raw/vaults/README.md,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,43,data/raw/liquidations/*,literal_path,data/liquidations/raw/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,43,data/raw/liquidations/*,ignore_rule,data/raw/liquidations/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,44,data/raw/liquidations/README.md,literal_path,data/liquidations/raw/README.md,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,44,!data/raw/liquidations/README.md,ignore_rule,!data/raw/liquidations/README.md,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,45,data/processed/*,literal_path,data/processed/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,45,data/processed/*,ignore_rule,data/processed/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,46,data/processed/README.md,literal_path,docs/data/processing.md,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,46,!data/processed/README.md,ignore_rule,!data/processed/README.md,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,47,data/provenance/*,literal_path,data/provenance/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,47,data/provenance/*,ignore_rule,data/provenance/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,48,data/provenance/manifests/,literal_path,data/provenance/,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,48,!data/provenance/manifests/,ignore_rule,!data/provenance/manifests/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,49,data/provenance/manifests/index.json,literal_path,data/provenance/index.json,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,49,!data/provenance/manifests/index.json,ignore_rule,!data/provenance/manifests/index.json,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,50,data/provenance/manifests/data_manifest.csv,literal_path,data/provenance/data_manifest.csv,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,50,!data/provenance/manifests/data_manifest.csv,ignore_rule,!data/provenance/manifests/data_manifest.csv,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,51,data/provenance/gas/,literal_path,data/gas/provenance/,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,51,!data/provenance/gas/,ignore_rule,!data/provenance/gas/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,52,data/provenance/gas/*,literal_path,data/gas/provenance/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,52,data/provenance/gas/*,ignore_rule,data/provenance/gas/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,53,data/provenance/gas/dune_ethereum_hourly_gas_chunk_ledger.json,literal_path,data/gas/provenance/dune_ethereum_hourly_gas_chunk_ledger.json,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,53,!data/provenance/gas/dune_ethereum_hourly_gas_chunk_ledger.json,ignore_rule,!data/provenance/gas/dune_ethereum_hourly_gas_chunk_ledger.json,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,54,data/provenance/liquidations/,literal_path,data/liquidations/provenance/,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,54,!data/provenance/liquidations/,ignore_rule,!data/provenance/liquidations/,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,55,data/provenance/liquidations/*,literal_path,data/liquidations/provenance/*,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
.gitignore,55,data/provenance/liquidations/*,ignore_rule,data/provenance/liquidations/*,high_ignore_policy,manual,git check-ignore on representative tracked and generated paths
.gitignore,56,data/provenance/liquidations/manifest.json,literal_path,data/liquidations/provenance/manifest.json,high_path,mapping_driven_then_manual_review,existence; manifest/checksum/path-metadata reconciliation
