parameter,required_variable,quiet_mature_observation_count,usdc_svb_observation_count,total_usable_observations,collateral_coverage,opening_state_reconstruction_succeeded,ownership_required,proposed_estimator,uncertainty_method,minimum_sample_threshold,status,notes,missingness
n_vaults,active urn indicator and CDP or urn mapping,3296,3381,6677,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Weighted active-vault count and scale-robust simulation design,Window-cluster bootstrap,500 active vault snapshots overall and 50 per exact ilk,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
target_debt_share,exact accrued DAI debt by active urn and exact ilk,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Debt-weighted share by window with exposure-weighted pooling,Window-cluster bootstrap and leave-one-window-out,200 active vaults per family and 50 per exact ilk,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
debt_mean,positive accrued DAI debt per active urn,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Weighted empirical distribution with interface-compatible mean,Window and urn clustered bootstrap,200 active vaults per family and 50 per exact ilk,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
debt_std,positive accrued DAI debt per active urn,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Weighted sample standard deviation plus empirical quantiles,Window and urn clustered bootstrap,200 active vaults per family and 50 per exact ilk,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
collateral_ratio_mean,collateral ink exact rate collateral price and accrued debt,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Weighted empirical collateral-ratio distribution,Window and urn clustered bootstrap,200 indebted vaults per family and 50 per exact ilk,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
collateral_ratio_std,collateral ink exact rate collateral price and accrued debt,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Weighted standard deviation plus robust quantiles,Window and urn clustered bootstrap,200 indebted vaults per family and 50 per exact ilk,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
min_collateral_ratio_buffer,distance from exact effective liquidation ratio,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Lower empirical quantile of positive distance to liquidation,Cluster bootstrap and threshold sensitivity,100 near-threshold observations overall and 30 per family,ready_for_estimation,Both quiet-mature and USDC/SVB reconstructed evidence are available; no value was estimated.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
max_close_factor,pre-grab debt and debt repaid or seized,0,0,0,None,True,False,Empirical debt-closure share with protocol or stylised interpretation,Auction bootstrap by transaction cluster,100 linked liquidations overall and 30 per major family,insufficient_observations,0 linked representative-window grabs; Phase 1C remains complementary liquidation evidence.,No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
max_normal_liquidatable_share,active indebted urn denominator and below-ratio indicator,1886,1934,3820,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Upper quantile of ordinary-window liquidatable share,Window-cluster bootstrap,500 active indebted vault-hours or 200 snapshots,ready_for_estimation,"Quiet-mature opening, exact event replay and independently observed closing boundary all passed; no value was estimated.",No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
max_stress_liquidatable_share,active indebted urn denominator and below-ratio indicator,0,1934,1934,ETH-A;ETH-B;ETH-C;WBTC-A;WBTC-B;WBTC-C,True,False,Upper stress quantile with collateral-family reporting,Window-cluster bootstrap and leave-one-stress-window-out,100 stress vault-hours and 50 liquidatable observations,ready_for_estimation,"USDC/SVB opening, exact event replay and independent closing-boundary reconciliation passed.",No missing state fields among usable opening observations; manager owner/proxy remains nullable for direct urns.
