gap_id,affected_fields,current_gap,required_interface_class,minimum_design,implementation_tranche,priority
vault_joint_distribution,debt_mean; debt_std; collateral_ratio_mean; collateral_ratio_std,Global Gaussian moments lose heavy tails and joint dependence.,requires_distribution_interface,Optional collateral-specific empirical joint sampler; lognormal/truncated fallback.,Tranche B,high
collateral_specific_vault_pools,initial vault generator,One global debt and ratio distribution is shared across collateral.,requires_collateral_specific_interface,Distribution specifications keyed by ETH/BTC/STABLE with exact-ilk provenance.,Tranche B,high
empirical_market_blocks,price_path,No registry-backed aligned moving-block sampler exists.,requires_distribution_interface,168-hour aligned block sampler; 72–336-hour sensitivity; GBM fallback.,Tranche C,medium
gas_process,LiquidationConfig.gas_cost,"One USD scalar conflates gas units, gas price and regime.",requires_distribution_interface,Separate transaction gas units and hourly gas price; scalar compatibility mode.,Tranche C,medium
regime_overrides,confidence and empirical samplers,"Evidence distinguishes normal, moderate stress and severe stress, but the empirical two-state classifier is not a three-state causal model.",requires_regime_interface,Named normal/moderate/severe override blocks; retain endogenous confidence states.,Tranche C,medium
liquidation_arrival_hurdle,no current field,Endogenous liquidatability is distinct from Bark demand and keeper capacity.,requires_distribution_interface,Optional hurdle demand overlay: activity probability plus conditional positive count.,Tranche D,low
auction_execution,no current field,Full Vat.grab closure coexists with partial and multiple Takes.,requires_new_model_mechanism,Defer from core; optional auction-friction extension if required.,Future work,low
keeper_participation_threshold,LiquidationConfig.risk_cost_rate,Arbitrary proportional risk cost is not the empirical minimum-profit concept.,requires_new_model_mechanism,Add explicit minimum expected profit or participation threshold; retain legacy field.,Tranche D,medium
protocol_replay,partial CollateralConfig mapping,"Debt ceilings, dust, stability fees and auction-stopped histories are not all consumed by current mechanics.",requires_time_varying_interface,Historical replay adapter only; generic experiments use a baseline timestamp.,Future replay,low
behavioural_calibration,15 model-calibration parameters,Direct observations do not identify latent confidence and DAI response coefficients.,not_identifiable,"Simulation matching, sensitivity, ablation and withheld FTX validation.",Tranche E,medium
