candidate_key,phase,parameter,canonical_parameter,simulator_field,estimate_value,distribution_reference,units,frequency,regime,collateral,uncertainty,sample_size,provenance_class,source_dataset,estimator,original_status,review_status,recommended_treatment,adoption_gate,original_candidate_sha256,source_registry,source_registry_sha256,notes
phase2a:000,2A,eth_hourly_mean,4.3.2,PriceProcessConfig.mu,2.0683874929400927e-05,,log_return_per_hour,hourly,all_calibration,ETH,"{""lower"": -7.002320764304304e-05, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.0001188027944447265}",26543,empirical_estimation,Phase 1A processed market panel,Empirical moment,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,33eeff1f506e79477df3e4e7162f0f122aa1fea6e664bf861c0122fe3e533b49,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:001,2A,eth_hourly_std,4.3.3,PriceProcessConfig.sigma,0.006082614959678903,,log_return_per_sqrt_hour,hourly,all_calibration,ETH,"{""lower"": 0.005650130832775232, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.006618243181681036}",26543,empirical_estimation,Phase 1A processed market panel,Empirical moment,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,d597576ebc56a886f7b35eabccaf8b893369975ccac3d6fd1fdb10e15937666f,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:002,2A,eth_aligned_empirical_return_blocks,4.3.1,price_path,,market/return_block_index.csv,source_row_indices,hourly,mixed,ETH,"{""candidate_block_length_hours"": 168}",26543,empirical_estimation,Phase 1A processed market panel,Aligned moving-block empirical resampling,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,8c49b74dd2bf03331d1658cef12ddb8d88dfcbaa845066722cc6786c08755408,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:003,2A,eth_hourly_lower_tail,4.3.7,shock_size,,market/return_distribution.csv,log_return,hourly,all_calibration,ETH,See moving-block-bootstrap quantile intervals.,26543,empirical_estimation,Phase 1A processed market panel,Empirical q01 and q05 tail distribution,candidate_validated_for_review,descriptive_only,Use only to bound transparent scenario choices.,User selects a labelled scenario quantile.,28113c29174e4a61f781b8fbe0a2dbf66b31cfed782585b5d79f12154e1c544f,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,A selected deterministic severity remains a scenario choice. | Do not treat a historical minimum as an estimate. | A chosen shock remains an experimental design parameter.
phase2a:004,2A,wbtc_hourly_mean,4.3.2,PriceProcessConfig.mu,2.8097430039838248e-05,,log_return_per_hour,hourly,all_calibration,WBTC,"{""lower"": -5.518905237844368e-05, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.00010995592088449305}",26543,empirical_estimation,Phase 1A processed market panel,Empirical moment,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,02385dfcfea30eac618c997db1fecbc5a89dbd8b2838acf1a1149ed2cc174026,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:005,2A,wbtc_hourly_std,4.3.3,PriceProcessConfig.sigma,0.0047429127302706054,,log_return_per_sqrt_hour,hourly,all_calibration,WBTC,"{""lower"": 0.004423154339260324, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.005086337618791436}",26543,empirical_estimation,Phase 1A processed market panel,Empirical moment,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,eb4e1f8b17ad52a48e16b2025794cf7ea82757cd5bcf6d7f74707f245698dcef,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:006,2A,wbtc_aligned_empirical_return_blocks,4.3.1,price_path,,market/return_block_index.csv,source_row_indices,hourly,mixed,WBTC,"{""candidate_block_length_hours"": 168}",26543,empirical_estimation,Phase 1A processed market panel,Aligned moving-block empirical resampling,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,5e0f917be568d912c4a29fe2ed279e5c2751f49cfa32e45ed8308e301b0191d7,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:007,2A,wbtc_hourly_lower_tail,4.3.7,shock_size,,market/return_distribution.csv,log_return,hourly,all_calibration,WBTC,See moving-block-bootstrap quantile intervals.,26543,empirical_estimation,Phase 1A processed market panel,Empirical q01 and q05 tail distribution,candidate_validated_for_review,descriptive_only,Use only to bound transparent scenario choices.,User selects a labelled scenario quantile.,c453addc4e67e46c6e0789965673193dfae2d6ca59f06c6e5b7677a3c6356046,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,A selected deterministic severity remains a scenario choice. | Do not treat a historical minimum as an estimate. | A chosen shock remains an experimental design parameter.
phase2a:008,2A,usdc_hourly_mean,4.3.2,PriceProcessConfig.mu,-9.961245747512497e-08,,log_return_per_hour,hourly,all_calibration,USDC,"{""lower"": -3.763833088654339e-06, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 4.513705105149652e-06}",26543,empirical_estimation,Phase 1A processed market panel,Empirical moment,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,260679c4ba43e1f69df11d0682f208656d79a602da09ef52b8bfd749d1ccbe66,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
phase2a:009,2A,usdc_hourly_std,4.3.3,PriceProcessConfig.sigma,0.0006672093036257861,,log_return_per_sqrt_hour,hourly,all_calibration,USDC,"{""lower"": 0.00047162649675026365, ""method"": ""moving_block_bootstrap_95pct"", ""replications"": 200, ""upper"": 0.0008699284360299629}",26543,empirical_estimation,Phase 1A processed market panel,Empirical moment,candidate_validated_for_review,provisional_sensitivity_required,Use 168 hours as the default candidate and 72–336 hours as sensitivity.,Confirm one simulation step equals one hour and validate withheld performance.,b5652a81d08c358c9c4491462049015a6b9b41a319bdff7f4adba15a3612c2a1,data/processed/estimation/phase2a/phase2a_candidate_parameters.json,fae0583fd2dc8a477df49d5954c80c486a209f8d3df963d779e5fe289fa5972d,USDC remains a proxy for the model's STABLE collateral. | Runtime arguments are scalar/path inputs rather than a registry-backed stochastic sampler.
